kod;cena;supplierId;typeid;nazov;balenie;
1221103-004-01-999;7.39;8;9;RAVENOL MTF-2 SAE 75W-80 - 4 L (VE 4 Stück);4 L;
1221103-010-01-999;7.39;8;9;RAVENOL MTF-2 SAE 75W-80 - 10 L;plast;
1221103-B20-01-888;6.99;8;9;RAVENOL MTF-2 SAE 75W-80 - 20 L Bag in Box;bag;
1222100-001-01-999;6.39;8;9;RAVENOL Getriebeoel PSA SAE 75W-80 - 1 L (VE 12 Stück);1 L;
1222100-004-01-999;6.39;8;9;RAVENOL Getriebeoel PSA SAE 75W-80 - 4 L (VE 4 Stück);4 L;
1222100-010-01-999;6.39;8;9;RAVENOL Getriebeoel PSA SAE 75W-80 - 10 L;plast;
1222100-B20-01-888;6.39;8;9;RAVENOL Getriebeoel PSA SAE 75W-80 - 20 L Bag in Box;bag;
1221100-001-01-999;8.09;8;9;RAVENOL SSG Spec Synt LKW Getriebeöl SAE 75W-80 - 1 L (VE 12 Stück);1 L;
1221100-004-01-999;8.09;8;9;RAVENOL SSG Spec Synt LKW Getriebeöl SAE 75W-80 - 4 L (VE 4 Stück);4 L;
1221100-010-01-999;8.09;8;9;RAVENOL SSG Spec Synt LKW Getriebeöl SAE 75W-80 - 10 L;plast;
1221100-B20-01-888;8.09;8;9;RAVENOL SSG Spec Synt LKW Getriebeöl SAE 75W-80 - 20 L Bag in Box;bag;
1221100-D60-01-888;8.09;8;9;RAVENOL SSG Spec Synt LKW Getriebeöl SAE 75W-80 - 60 L;sud;
1221102-001-01-999;7.59;8;9;RAVENOL MTF-1 SAE 75W-85 - 1 L (VE 12 Stück);1 L;
1221102-004-01-999;7.59;8;9;RAVENOL MTF-1 SAE 75W-85 - 4 L (VE 4 Stück);4 L;
1221102-010-01-999;7.59;8;9;RAVENOL MTF-1 SAE 75W-85 - 10 L;plast;
1221102-B20-01-888;6.99;8;9;RAVENOL MTF-1 SAE 75W-85 - 20 L Bag in Box;bag;
1221107-001-01-999;9.59;8;9;RAVENOL DGL SAE 75W-85 GL-5 LS - 1 L (VE 12 Stück);1 L;
1221107-004-01-999;9.59;8;9;RAVENOL DGL SAE 75W-85 GL-5 LS - 4 L (VE 4 Stück);4 L;
1221107-B20-01-888;9.59;8;9;RAVENOL DGL SAE 75W-85 GL-5 LS - 20 L Bag in Box;bag;
1222101-001-01-999;6.39;8;9;RAVENOL Getriebeoel TSG SAE 75W-90 - 1 L (VE 12 Stück);1 L;
1222101-004-01-999;6.39;8;9;RAVENOL Getriebeoel TSG SAE 75W-90 - 4 L (VE 4 Stück);4 L;
1222101-B20-01-888;6.39;8;9;RAVENOL Getriebeoel TSG SAE 75W-90 - 20 L Bag in Box;bag;
1222105-001-01-999;6.59;8;9;RAVENOL Getriebeoel TGO SAE 75W-90 API GL 5 - 1 L (VE 12 Stück);1 L;
1222105-004-01-999;6.59;8;9;RAVENOL Getriebeoel TGO SAE 75W-90 API GL 5 - 4 L (VE 4 Stück);4 L;
1222105-B20-01-888;6.59;8;9;RAVENOL Getriebeoel TGO SAE 75W-90 API GL 5 - 20 L Bag in Box;bag;
1221101-001-01-999;8.59;8;9;RAVENOL VSG SAE 75W-90 - 1 L (VE 12 Stück);1 L;
1221101-004-01-999;8.59;8;9;RAVENOL VSG SAE 75W-90 - 4 L (VE 4 Stück);4 L;
1221101-010-01-999;8.59;8;9;RAVENOL VSG SAE 75W-90 - 10 L;plast;
1221101-B20-01-888;7.79;8;9;RAVENOL VSG SAE 75W-90 - 20 L Bag in Box;bag;
1222102-001-01-999;7.69;8;9;RAVENOL Getriebeoel LS SAE 75W-90 - 1 L (VE 12 Stück);1 L;
1222102-004-01-999;7.69;8;9;RAVENOL Getriebeoel LS SAE 75W-90 - 4 L (VE 4 Stück);4 L;
1222102-010-01-999;7.69;8;9;RAVENOL Getriebeoel LS SAE 75W-90 - 10 L;plast;
1222102-B20-01-888;7.69;8;9;RAVENOL Getriebeoel LS SAE 75W-90 - 20 L Bag in Box;bag;
1145100-001-01-999;9.99;8;9;RAVENOL RHP Racing High Perform. Gear SAE 75W-90 - 1 L (VE 12 Stück);1 L;
1145100-004-01-999;9.99;8;9;RAVENOL RHP Racing High Perform. Gear SAE 75W-90 - 4 L (VE 4 Stück);4 L;
1145100-B20-01-888;9.99;8;9;RAVENOL RHP Racing High Perform. Gear SAE 75W-90 - 20 L Bag in Box;bag;
1221109-001-01-999;12.9;8;9;RAVENOL TDG 75W-110 - 1 L (VE 12 Stück);1 L;
1221109-010-01-999;11.9;8;9;RAVENOL TDG 75W-110 - 10 L;plast;
1221109-020-01-999;11.9;8;9;RAVENOL TDG 75W-110 - 20 L;plast;
1221110-001-01-999;10.59;8;9;RAVENOL Getriebeoel SLS SAE 75W-140 GL 5 LS - 1 L (VE 12 Stück);1 L;
1221110-004-01-999;10.59;8;9;RAVENOL Getriebeoel SLS SAE 75W-140 GL 5 LS - 4 L (VE 4 Stück);4 L;
1221110-010-01-999;10.59;8;9;RAVENOL Getriebeoel SLS SAE 75W-140 GL 5 LS - 10 L;plast;
1221110-B20-01-888;10.59;8;9;RAVENOL Getriebeoel SLS SAE 75W-140 GL 5 LS - 20 L Bag in Box;bag;
1223101-001-01-999;5.19;8;9;RAVENOL Getriebeoel MZG SAE 80W GL-4 - 1 L (VE 12 Stück);1 L;
1223101-004-01-999;5.19;8;9;RAVENOL Getriebeoel MZG SAE 80W GL-4 - 4 L (VE 4 Stück);4 L;
1223101-010-01-999;5.19;8;9;RAVENOL Getriebeoel MZG SAE 80W GL-4 - 10 L;plast;
1223101-B20-01-888;5.19;8;9;RAVENOL Getriebeoel MZG SAE 80W GL-4 - 20 L Bag in Box;bag;
1223201-001-01-999;5.29;8;9;RAVENOL Getriebeoel EPX SAE 80W GL-5 - 1 L (VE 12 Stück);1 L;
1223201-004-01-999;5.29;8;9;RAVENOL Getriebeoel EPX SAE 80W GL-5 - 4 L (VE 4 Stück);4 L;
