kod;cena za l kartonovy;supplierId;typeid
1141101-060-01-999;8.59;8;9
1141101-B20-01-888;8.59;8;9
1113300-001-01-999;3.70;8;9
1113300-004-01-999;3.50;8;9
1113300-060-01-999;3.30;8;9
1113300-B20-01-888;3.30;8;9
1114105-001-01-999;6.50;8;9
1114105-004-01-999;6.30;8;9
1114105-060-01-999;5.99;8;9
1114105-B20-01-888;5.99;8;9
1113305-001-01-999;3.99;8;9
1113305-004-01-999;3.69;8;9
1113305-020-01-999;3.39;8;9
1118113-001-01-999;5.99;8;9
1119116-001-01-999;5.99;8;9
