kod;cena za l kartonovy;supplierId;typeid;popis;balenie;kategoria
1211139-B20-01-888;9.49;8;9;RAVENOL ATF M 9-G Serie - 20 L Bag in Box;bag;
1213102-001-01-999;4.99;8;9;RAVENOL ATF Dexron D II - 1 L (VE 12 Stück);1 L;GM Dexron®-IID
1213102-004-01-999;4.79;8;9;RAVENOL ATF Dexron D II - 4 L (VE 4 Stück);4 L;
1213102-010-01-999;4.4;8;9;RAVENOL ATF Dexron D II - 10 L;plast;
1213102-060-01-909;4.1;8;9;RAVENOL ATF Dexron D II - 60 L;sud;
1213102-B20-01-888;4.4;8;9;RAVENOL ATF Dexron D II - 20 L Bag in Box;bag;
1212100-001-01-999;5.99;8;9;RAVENOL ATF DEXRON III H - 1 L (VE 12 Stück);1 L;GM Dexron III H
1212100-010-01-999;5.59;8;9;RAVENOL ATF DEXRON III H - 10 L;plast;
1212100-B20-01-888;5.59;8;9;RAVENOL ATF DEXRON III H - 20 L Bag in Box;bag;
1211103-001-01-999;10.99;8;9;RAVENOL ATF Dexron II E - 1 L (VE 12 Stück);1 L;GM Dexron II E, Ford Mercon
1211103-B20-01-888;9.99;8;9;RAVENOL ATF Dexron II E - 20 L Bag in Box;bag;
1211105-001-01-999;6.49;8;9;RAVENOL ATF DEXRON VI - 1 L (VE 12 Stück);1 L;GM Dexron®-VI
1211105-010-01-909;5.99;8;9;RAVENOL ATF DEXRON VI - 10 L;plast;
1211105-B20-01-888;5.99;8;9;RAVENOL ATF DEXRON VI - 20 L Bag in Box;bag;
1212101-001-01-999;5.99;8;9;RAVENOL ATF MERCON® V - 1 L (VE 12 Stück);1 L;MERCON®V, Ford WSS-M2C202-B
1212101-010-01-909;5.5;8;9;RAVENOL ATF MERCON® V - 10 L;plast;
1212101-B20-01-888;5.5;8;9;RAVENOL ATF MERCON® V - 20 L Bag in Box;bag;
1211137-001-01-999;4.7;8;9;RAVENOL ATF MERCON® LV Fluid - 1 L (VE 12 Stück);1 L;PREDTÝM: RAVENOL F-LV
1211137-010-01-999;4.39;8;9;RAVENOL ATF MERCON® LV Fluid - 10 L;plast;
1211137-B20-01-888;4.39;8;9;RAVENOL ATF MERCON® LV Fluid - 20 L Bag in Box;bag;
1213101-001-01-999;3.5;8;9;RAVENOL ATF Fluid - 1 L (VE 12 Stück);1 L;Type A Suffix A (TASA)
1213101-010-01-999;4.19;8;9;RAVENOL ATF Fluid - 10 L;plast;
1213101-B20-01-888;4.19;8;9;RAVENOL ATF Fluid - 20 L Bag in Box;bag;
1211100-001-01-999;6.99;8;9;RAVENOL ATF+4 Fluid - 1 L (VE 12 Stück);1 L;Chrysler, Dodge, Plymouth, Jeep
1211100-004-01-999;6.5;8;9;RAVENOL ATF+4 Fluid - 4 L (VE 4 Stück);4 L;
1211100-010-01-999;5.99;8;9;RAVENOL ATF+4 Fluid - 10 L;plast;
1211100-B20-01-888;5.99;8;9;RAVENOL ATF+4 Fluid - 20 L Bag in Box;bag;
1213105-001-01-999;3.5;8;9;RAVENOL ATF Fluid Type F - 1 L (VE 12 Stück);1 L;FORD Type M2C-33F/G
1213105-004-01-999;3.3;8;9;RAVENOL ATF Fluid Type F - 4 L (VE 4 Stück);4 L;
1213105-010-01-999;2.99;8;9;RAVENOL ATF Fluid Type F - 10 L;plast;
1213105-020-01-909;2.79;8;9;RAVENOL ATF Fluid Type F - 20 L;plast;
